id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-220708,high,Local volumes must be formatted using NTFS.,"The ability to set access permissions and auditing is critical to maintaining the security and proper access controls of a system.  To support this, volumes must be formatted using the NTFS file system.",None,SV-220708r569187_rule,F-22412r554610_fix,Format all local volumes to use NTFS.,C-22423r554609_chk,"Run ""Computer Management"".
Navigate to Storage >> Disk Management.

If the ""File System"" column does not indicate ""NTFS"" for each volume assigned a drive letter, this is a finding.

This does not apply to system partitions such the Recovery and EFI System Partition."
V-220709,medium,Alternate operating systems must not be permitted on the same system.,Allowing other operating systems to run on a secure system may allow security to be circumvented.,None,SV-220709r569187_rule,F-22413r554613_fix,Ensure Windows 10 is the only operating system on a device.  Remove alternate operating systems.,C-22424r554612_chk,"Verify the system does not include other operating system installations.

Run ""Advanced System Settings"".
Select the ""Advanced"" tab.
Click the ""Settings"" button in the ""Startup and Recovery"" section.

If the drop-down list box ""Default operating system:"" shows any operating system other than Windows 10, this is a finding."
V-220830,medium,Enhanced anti-spoofing for facial recognition must be enabled on Window 10.,Enhanced anti-spoofing provides additional protections when using facial recognition with devices that support it.,None,SV-220830r569187_rule,F-22534r554976_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Biometrics >> Facial Features >> ""Configure enhanced anti-spoofing"" to ""Enabled"". 

v1607:
The policy name is ""Use enhanced anti-spoofing when available"".",C-22545r554975_chk,"Windows 10 v1507 LTSB version does not include this setting; it is NA for those systems.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures\

Value Name: EnhancedAntiSpoofing

Value Type: REG_DWORD
Value: 0x00000001 (1)"
V-220831,low,Microsoft consumer experiences must be turned off.,"Microsoft consumer experiences provides suggestions and notifications to users, which may include the installation of Windows Store apps.  Organizations may control the execution of applications through other means such as whitelisting.  Turning off Microsoft consumer experiences will help prevent the unwanted installation of suggested applications.",None,SV-220831r569187_rule,F-22535r554979_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Cloud Content >> ""Turn off Microsoft consumer experiences"" to ""Enabled"".",C-22546r554978_chk,"Windows 10 v1507 LTSB version does not include this setting; it is NA for those systems.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\CloudContent\

Value Name: DisableWindowsConsumerFeatures

Type: REG_DWORD
Value: 0x00000001 (1)"
V-220836,medium,The Windows Defender SmartScreen for Explorer must be enabled.,Windows Defender SmartScreen helps protect systems from programs downloaded from the internet that may be malicious. Enabling Windows Defender SmartScreen will warn or prevent users from running potentially malicious programs.,None,SV-220836r569187_rule,F-22540r554994_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> File Explorer >> ""Configure Windows Defender SmartScreen"" to ""Enabled"" with ""Warn and prevent bypass"" selected. 

Windows 10 includes duplicate policies for this setting. It can also be configured under Computer Configuration >> Administrative Templates >> Windows Components >> Windows Defender SmartScreen >> Explorer.

v1607 LTSB:
Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> File Explorer >> ""Configure Windows SmartScreen"" to ""Enabled"". (Selection options are not available.)

v1507 LTSB:
Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> File Explorer >> ""Configure Windows SmartScreen"" to ""Enabled"" with ""Require approval from an administrator before running downloaded unknown software"" selected.",C-22551r554993_chk,"This is applicable to unclassified systems, for other systems this is NA.

If the following registry values do not exist or are not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\System\

Value Name: EnableSmartScreen

Value Type: REG_DWORD
Value: 0x00000001 (1)

And

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\System\

Value Name: ShellSmartScreenLevel

Value Type: REG_SZ
Value: Block

v1607 LTSB:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\System\

Value Name: EnableSmartScreen

Value Type: REG_DWORD
Value: 0x00000001 (1)

v1507 LTSB:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\System\

Value Name: EnableSmartScreen

Value Type: REG_DWORD
Value: 0x00000002 (2)"
V-220837,medium,Explorer Data Execution Prevention must be enabled.,Data Execution Prevention (DEP) provides additional protection by performing  checks on memory to help prevent malicious code from running.  This setting will prevent Data Execution Prevention from being turned off for File Explorer.,None,SV-220837r569187_rule,F-22541r554997_fix,"The default behavior is for data execution prevention to be turned on for file explorer.

If this needs to be corrected, configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> File Explorer >> ""Turn off Data Execution Prevention for Explorer"" to ""Not Configured"" or ""Disabled"".",C-22552r554996_chk,"The default behavior is for data execution prevention to be turned on for file explorer.

If the registry value name below does not exist, this is not a finding.

If it exists and is configured with a value of ""0"", this is not a finding.

If it exists and is configured with a value of ""1"", this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\Explorer\

Value Name: NoDataExecutionPrevention

Value Type: REG_DWORD
Value: 0 (or if the Value Name does not exist)"
V-220834,medium,Windows Telemetry must not be configured to Full.,"Some features may communicate with the vendor, sending system information or downloading data or components for the feature. Limiting this capability will prevent potentially sensitive information from being sent outside the enterprise. The ""Security"" option for Telemetry configures the lowest amount of data, effectively none outside of the Malicious Software Removal Tool (MSRT), Defender and telemetry client settings. ""Basic"" sends basic diagnostic and usage data and may be required to support some Microsoft services. ""Enhanced"" includes additional information on how Windows and apps are used and advanced reliability data. Windows Analytics can use a ""limited enhanced"" level to provide information such as health data for devices.  This requires the configuration of an additional setting available with v1709 and later of Windows 10. ",None,SV-220834r569187_rule,F-22538r554988_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Data Collection and Preview Builds >> ""Allow Telemetry"" to ""Enabled"" with ""0 - Security [Enterprise Only]"" or ""1 - Basic"" selected in ""Options:"".   

If an organization is using v1709 or later of Windows 10 this may be configured to ""2 - Enhanced"" to support Windows Analytics. V-82145 must also be configured to limit the Enhanced diagnostic data to the minimum required by Windows Analytics.",C-22549r554987_chk,"If the following registry value does not exist or is not configured as specified, this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\DataCollection\

Value Name: AllowTelemetry

Type: REG_DWORD
Value: 0x00000000 (0) (Security)
0x00000001 (1) (Basic)

If an organization is using v1709 or later of Windows 10 this may be configured to ""Enhanced"" to support Windows Analytics. V-82145 must also be configured to limit the Enhanced diagnostic data to the minimum required by Windows Analytics. This registry value will then be 0x00000002 (2)."
V-220833,medium,If Enhanced diagnostic data is enabled it must be limited to the minimum required to support Windows Analytics.,"Some features may communicate with the vendor, sending system information or downloading data or components for the feature. Limiting this capability will prevent potentially sensitive information from being sent outside the enterprise. The ""Enhanced"" level for telemetry includes additional information beyond ""Security"" and ""Basic"" on how Windows and apps are used and advanced reliability data. Windows Analytics can use a ""limited enhanced"" level to provide information such as health data for devices.",None,SV-220833r569187_rule,F-22537r554985_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Data Collection and Preview Builds >> ""Limit Enhanced diagnostic data to the minimum required by Windows Analytics"" to ""Enabled"" with ""Enable Windows Analytics collection"" selected in ""Options:"".",C-22548r554984_chk,"This setting requires v1709 or later of Windows 10; it is NA for prior versions.

If ""Enhanced"" level is enabled for telemetry, this must be configured. If ""Security"" or ""Basic"" are configured, this is NA. (See V-63683).

If the following registry value does not exist or is not configured as specified, this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\DataCollection\

Value Name: LimitEnhancedDiagnosticDataWindowsAnalytics

Type: REG_DWORD
Value: 0x00000001 (1)"
V-220700,low,Secure Boot must be enabled on Windows 10 systems.,"Secure Boot is a standard that ensures systems boot only to a trusted operating system. Secure Boot is required to support additional security features in Windows 10, including Virtualization Based Security and Credential Guard. If Secure Boot is turned off, these security features will not function.",None,SV-220700r569187_rule,F-22404r554586_fix,Enable Secure Boot in the system firmware.,C-22415r554585_chk,"Some older systems may not have UEFI firmware. This is currently a CAT III; it will be raised in severity at a future date when broad support of Windows 10 hardware and firmware requirements are expected to be met. Devices that have UEFI firmware must have Secure Boot enabled. 

For virtual desktop implementations (VDIs) where the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

Run ""System Information"".

Under ""System Summary"", if ""Secure Boot State"" does not display ""On"", this is finding."
V-220701,medium,"Windows 10 must employ automated mechanisms to determine the state of system components with regard to flaw remediation using the following frequency: continuously, where HBSS is used; 30 days, for any additional internal network scans not covered by HBSS; and annually, for external scans by Computer Network Defense Service Provider (CNDSP).","An approved tool for continuous network scanning must be installed and configured to run.

Without the use of automated mechanisms to scan for security flaws on a continuous and/or periodic basis, the operating system or other system components may remain vulnerable to the exploits presented by undetected software flaws.

To support this requirement, the operating system may have an integrated solution incorporating continuous scanning using HBSS and periodic scanning using other tools, as specified in the requirement.",None,SV-220701r569187_rule,F-22405r554589_fix,Install DoD approved HBSS software and ensure it is operating continuously.,C-22416r554588_chk,"Verify DoD approved HBSS software is installed, configured, and properly operating. Ask the operator to document the HBSS software installation and configuration.

If the operator is not able to provide a documented configuration for an installed HBSS or if the HBSS software is not properly configured, maintained, or used, this is a finding."
